# Take GHG emissions for the energy system, filter to include only resources
# in model base years, and rename to regional SO2.
# NOTE: only for SDG version - GCAM_v7p1_plus - VanDeVen et al 2026
region,resource,subresource,technology,year,Non.CO2,emiss.coef,emiss.units
Africa_Southern,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Africa_Southern,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Africa_Southern,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Africa_Southern,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Africa_Southern,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Africa_Southern,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Africa_Southern,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Africa_Southern,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Africa_Southern,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Africa_Western,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Africa_Western,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Africa_Western,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Africa_Western,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Africa_Western,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Africa_Western,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Australia_NZ,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Australia_NZ,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Australia_NZ,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Australia_NZ,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Australia_NZ,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Australia_NZ,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Brazil,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Brazil,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Brazil,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Brazil,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Brazil,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Brazil,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Brazil,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Brazil,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Brazil,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Brazil,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Canada,crude oil,unconventional oil,unconventional oil,1975,CH4,0.02033,Tg
Canada,crude oil,unconventional oil,unconventional oil,1990,CH4,0.02033,Tg
Canada,crude oil,unconventional oil,unconventional oil,2005,CH4,0.02033,Tg
Canada,crude oil,unconventional oil,unconventional oil,2010,CH4,0.02033,Tg
Canada,crude oil,unconventional oil,unconventional oil,2015,CH4,0.02033,Tg
Canada,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.6259090909,MTC
Canada,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.6259090909,MTC
Canada,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.6259090909,MTC
Canada,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.6259090909,MTC
Canada,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.6259090909,MTC
Canada,crude oil,unconventional oil,unconventional oil,1975,N2O,9.112e-07,Tg
Canada,crude oil,unconventional oil,unconventional oil,1990,N2O,9.112e-07,Tg
Canada,crude oil,unconventional oil,unconventional oil,2005,N2O,9.112e-07,Tg
Canada,crude oil,unconventional oil,unconventional oil,2010,N2O,9.112e-07,Tg
Canada,crude oil,unconventional oil,unconventional oil,2015,N2O,9.112e-07,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Central America and Caribbean,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Central Asia,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Central Asia,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Central Asia,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Central Asia,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Central Asia,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Central Asia,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
China,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
China,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
China,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
China,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
China,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
China,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
China,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
China,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
China,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
China,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
China,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
China,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
China,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
China,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
China,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
EU-12,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
EU-12,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
EU-12,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
EU-12,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
EU-12,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
EU-12,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
EU-12,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
EU-12,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
EU-12,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
EU-12,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
EU-15,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
EU-15,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
EU-15,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
EU-15,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
EU-15,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
EU-15,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
EU-15,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
EU-15,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
EU-15,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
EU-15,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Europe_Eastern,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Europe_Non_EU,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
European Free Trade Association,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
India,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
India,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
India,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
India,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
India,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
India,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
India,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
India,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
India,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
India,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
India,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
India,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
India,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
India,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
India,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Indonesia,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Indonesia,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Indonesia,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Indonesia,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Indonesia,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Indonesia,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Japan,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Japan,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Japan,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Japan,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Japan,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Japan,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Japan,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Japan,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Japan,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Japan,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Japan,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Japan,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Japan,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Japan,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Japan,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Mexico,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Mexico,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Mexico,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Mexico,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Mexico,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Mexico,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Mexico,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Mexico,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Mexico,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
Mexico,crude oil,unconventional oil,unconventional oil,2015,N2O,9.39e-07,Tg
Middle East,crude oil,unconventional oil,unconventional oil,1975,CH4,0.0882,Tg
Middle East,crude oil,unconventional oil,unconventional oil,1990,CH4,0.0882,Tg
Middle East,crude oil,unconventional oil,unconventional oil,2005,CH4,0.0882,Tg
Middle East,crude oil,unconventional oil,unconventional oil,2010,CH4,0.0882,Tg
Middle East,crude oil,unconventional oil,unconventional oil,2015,CH4,0.0882,Tg
Middle East,crude oil,unconventional oil,unconventional oil,1975,CO2_FUG,0.2710909091,MTC
Middle East,crude oil,unconventional oil,unconventional oil,1990,CO2_FUG,0.2710909091,MTC
Middle East,crude oil,unconventional oil,unconventional oil,2005,CO2_FUG,0.2710909091,MTC
Middle East,crude oil,unconventional oil,unconventional oil,2010,CO2_FUG,0.2710909091,MTC
Middle East,crude oil,unconventional oil,unconventional oil,2015,CO2_FUG,0.2710909091,MTC
Middle East,crude oil,unconventional oil,unconventional oil,1975,N2O,9.39e-07,Tg
Middle East,crude oil,unconventional oil,unconventional oil,1990,N2O,9.39e-07,Tg
Middle East,crude oil,unconventional oil,unconventional oil,2005,N2O,9.39e-07,Tg
Middle East,crude oil,unconventional oil,unconventional oil,2010,N2O,9.39e-07,Tg
